model,regime,depth,n_total,n_correct,n_collapse,acc,collapse_rate,step_acc
gemma4_e2b,cot,1,200,200,0,1.0,0.0,1.0
gemma4_e2b,cot,2,200,192,0,0.96,0.0,0.9975
gemma4_e2b,cot,3,200,184,0,0.92,0.0,0.9666666666666667
gemma4_e2b,cot,4,200,176,0,0.88,0.0,0.90625
gemma4_e2b,cot,5,200,179,0,0.895,0.0,0.8639999999999999
gemma4_e2b,cot,6,200,161,0,0.805,0.0,0.8366666666666666
gemma4_e2b,cot,7,200,166,0,0.83,0.0,0.865
gemma4_e2b,cot,8,200,167,0,0.835,0.0,0.82625
gemma4_e2b,direct,1,200,185,0,0.925,0.0,0.935
gemma4_e2b,direct,2,200,40,0,0.2,0.0,0.1325
gemma4_e2b,direct,3,200,10,0,0.05,0.0,0.04166666666666666
gemma4_e2b,direct,4,200,3,0,0.015,0.0,0.01625
gemma4_e2b,direct,5,200,2,0,0.01,0.0,0.011000000000000001
gemma4_e2b,direct,6,200,3,0,0.015,0.0,0.006666666666666666
gemma4_e2b,direct,7,200,0,0,0.0,0.0,0.008571428571428572
gemma4_e2b,direct,8,200,1,0,0.005,0.0,0.00375
phi4_mini,cot,1,200,200,0,1.0,0.0,1.0
phi4_mini,cot,2,200,191,0,0.955,0.0,0.9925
phi4_mini,cot,3,200,189,0,0.945,0.0,0.9533333333333333
phi4_mini,cot,4,200,168,0,0.84,0.0,0.9
phi4_mini,cot,5,200,146,0,0.73,0.0,0.8490000000000001
phi4_mini,cot,6,200,128,0,0.64,0.0,0.7933333333333334
phi4_mini,cot,7,200,114,0,0.57,0.0,0.7771428571428572
phi4_mini,cot,8,200,123,0,0.615,0.0,0.805625
phi4_mini,direct,1,200,200,0,1.0,0.0,1.0
phi4_mini,direct,2,200,123,0,0.615,0.0,0.0225
phi4_mini,direct,3,200,23,0,0.115,0.0,0.02333333333333333
phi4_mini,direct,4,200,3,0,0.015,0.0,0.005
phi4_mini,direct,5,200,1,0,0.005,0.0,0.008
phi4_mini,direct,6,200,2,0,0.01,0.0,0.008333333333333335
phi4_mini,direct,7,200,3,0,0.015,0.0,0.003571428571428571
phi4_mini,direct,8,200,1,0,0.005,0.0,0.0
qwen25_math_1.5b,cot,1,200,200,0,1.0,0.0,1.0
qwen25_math_1.5b,cot,2,200,183,0,0.915,0.0,0.9625
qwen25_math_1.5b,cot,3,200,175,0,0.875,0.0,0.9316666666666668
qwen25_math_1.5b,cot,4,200,159,0,0.795,0.0,0.86
qwen25_math_1.5b,cot,5,200,154,0,0.77,0.0,0.8580000000000001
qwen25_math_1.5b,cot,6,200,138,0,0.69,0.0,0.835
qwen25_math_1.5b,cot,7,200,117,0,0.585,0.0,0.7535714285714286
qwen25_math_1.5b,cot,8,200,102,0,0.51,0.0,0.7425
qwen25_math_1.5b,direct,1,200,200,0,1.0,0.0,1.0
qwen25_math_1.5b,direct,2,200,179,0,0.895,0.0,0.8925
qwen25_math_1.5b,direct,3,200,146,0,0.73,0.0,0.6716666666666665
qwen25_math_1.5b,direct,4,200,67,0,0.335,0.0,0.31625
qwen25_math_1.5b,direct,5,200,31,0,0.155,0.0,0.14600000000000002
qwen25_math_1.5b,direct,6,200,27,0,0.135,0.0,0.14416666666666667
qwen25_math_1.5b,direct,7,200,15,0,0.075,0.0,0.10142857142857142
qwen25_math_1.5b,direct,8,200,10,0,0.05,0.0,0.115625
